audio_filepath	transcript	duration
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0000.flac	chapter one missus rachel lynde is surprised missus rachel lynde lived just where the avonlea main road dipped down into a little hollow fringed with alders and ladies eardrops and traversed by a brook	14.085
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0002.flac	for not even a brook could run past missus rachel lynde's door without due regard for decency and decorum it probably was conscious that missus rachel was sitting at her window keeping a sharp eye on everything that passed from brooks and children up	13.945
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0003.flac	and that if she noticed anything odd or out of place she would never rest until she had ferreted out the whys and wherefores thereof there are plenty of people in avonlea and out of it who can attend closely to their neighbor's business by dint of neglecting their own	14.71
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0004.flac	but missus rachel lynde was one of those capable creatures who can manage their own concerns and those of other folks into the bargain she was a notable housewife her work was always done and well done she ran the sewing circle	12.515
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0006.flac	as avonlea housekeepers were wont to tell in awed voices and keeping a sharp eye on the main road that crossed the hollow and wound up the steep red hill beyond	9.58
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0009.flac	missus rachel knew that he ought because she had heard him tell peter morrison the evening before in william j blair's store over at carmody that he meant to sow his turnip seed the next afternoon	10.03
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0010.flac	peter had asked him of course for matthew cuthbert had never been known to volunteer information about anything in his whole life and yet here was matthew cuthbert at half past three on the afternoon of a busy day placidly driving over the hollow and up the hill	14.805
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0011.flac	and his best suit of clothes which was plain proof that he was going out of avonlea and he had the buggy and the sorrel mare which betokened that he was going a considerable distance now where was matthew cuthbert going and why was he going there	14.655
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0014.flac	and her afternoon's enjoyment was spoiled i'll just step over to green gables after tea and find out from marilla where he's gone and why the worthy woman finally concluded he doesn't generally go to town this time of year and he never visits	13.96
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0015.flac	if he'd run out of turnip seed he wouldn't dress up and take the buggy to go for more	3.81
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0017.flac	the big rambling orchard embowered house where the cuthberts lived was a scant quarter of a mile up the road from lynde's hollow to be sure the long lane made it a good deal further matthew cuthbert's father as shy and silent as his son after him	14.315
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0018.flac	had got as far away as he possibly could from his fellow men without actually retreating into the woods when he founded his homestead green gables was built at the furthest edge of his cleared land and there it was to this day	11.61
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0020.flac	bordered with wild rose bushes it's no wonder matthew and marilla are both a little odd living away back here by themselves trees aren't much company though dear knows if they were there'd be enough of them i'd ruther look at people to be sure	13.415
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0021.flac	they seem contented enough but then i suppose they're used to it a body can get used to anything even to being hanged as the irishman said with this missus rachel stepped out of the lane into the backyard of green gables very green and neat and precise was that yard	14.81
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0023.flac	one could have eaten a meal off the ground without overbrimming the proverbial peck of dirt missus rachel rapped smartly at the kitchen door and stepped in when bidden to do so the kitchen at green gables was a cheerful apartment	12.15
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0026.flac	and here she sat now knitting and the table behind her was laid for supper missus rachel before she had fairly closed the door	8.335
/home4/khanhnd/LibriSpeech/train-clean-100/103/1240/103-1240-0027.flac	there were three plates laid so that marilla must be expecting some one home with matthew to tea but the dishes were everyday dishes and there was only crab apple preserves and one kind of cake so that the expected company could not be any particular company	13.965
