audio_path|transcription|duration|source
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_115.875.wav|tôi xin cảm ơn quý vị đã tới dự buổi hầu thánh hôm nay|3.416|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_119.375.wav|để ghi nhận công đức của ông vương gia huy đã cúng một tỷ đồng để trùng tu bản đền|5.5|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_125.458.wav|bà đồng xin hồi hướng một tượng thánh cho gia đình ông|4.042|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_138.958.wav|tôi cũng xin giới thiệu con nhang mới của đền chúng ta|3.375|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_142.708.wav|bà diệp|1.167|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_189.333.wav|mẹ ơi sao ở đây có nhiều búp bê quá vậy|4.375|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_194.833.wav|không phải búp bê đâu con|1.577|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_196.625.wav|đó là hình nhân tượng trưng cho bà thầy và những người hầu|3.25|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_202.625.wav|vậy cho con xin một con chơi được không|1.958|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_204.833.wav|không được đâu đó là đồ cúng|1.958|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_233.291.wav|đi học có đi trễ vậy không|1.667|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_235.291.wav|con xin lỗi|1.042|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_249.291.wav|bà thầy mới vừa phát lộc cho ba con|1.917|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_251.958.wav|ổng không phải ba con|1.452|netflix
/home4/khanhnd/crawl_netflix/audio_trim/doat_hon_253.458.wav|nụ cười của ổng nham hiểm lắm|1.417|netflix
